policy_index,servo_id,name,servo_sign,center_step,training_default_rad,physical_min_step,physical_max_step,physical_lower_rad,physical_upper_rad,safety_margin_steps_each_end,safe_min_step,safe_max_step,safe_lower_rad,safe_upper_rad,previous_lower_rad,previous_upper_rad,training_default_inside_safe_range
0,1,leg_left_hip_roll_joint,-1,2041,0.0,1522,2504,-0.7102331047910518,0.7961360289126478,10,1532,2494,-0.6948932969121955,0.7807962210337913,-0.698,0.524,True
1,2,leg_left_hip_yaw_joint,-1,2027,0.0,1597,2095,-0.1043106935762236,0.6596117387908257,10,1607,2085,-0.08897088569736719,0.6442719309119693,-0.087,1.221,True
2,3,leg_left_hip_pitch_joint,-1,2110,-0.1,1656,3373,-1.9374177350995647,0.6964272777000811,10,1666,3363,-1.9220779272207085,0.6810874698212247,-1.483,0.785,True
3,4,leg_left_knee_pitch_joint,-1,2051,0.4,584,1973,0.11965050145508001,2.2503498158282356,10,594,1963,0.1349903093339364,2.2350100079493793,0.0,1.483,True
4,5,leg_left_ankle_pitch_joint,1,2024,-0.3,1486,2497,-0.8252816638824749,0.7255729126699083,10,1496,2487,-0.8099418560036186,0.7102331047910518,-0.384,1.134,True
5,6,leg_left_ankle_roll_joint,1,2021,0.0,1676,2626,-0.5292233718205462,0.9280583766708129,10,1686,2616,-0.5138835639416898,0.9127185687919565,-0.524,0.785,True
6,7,leg_right_hip_roll_joint,1,2038,0.0,1458,2467,-0.8897088569736719,0.6580777580029401,10,1468,2457,-0.8743690490948155,0.6427379501240836,-0.698,0.524,True
7,8,leg_right_hip_yaw_joint,1,2040,0.0,1993,2507,-0.07209709703062514,0.7163690279425944,10,2003,2497,-0.056757289151768725,0.701029220063738,-0.087,1.221,True
8,9,leg_right_hip_pitch_joint,1,2123,-0.1,815,2489,-2.0064468705544187,0.5614369683661447,10,825,2479,-1.9911070626755623,0.5460971604872883,-1.483,0.785,True
9,10,leg_right_knee_pitch_joint,1,2051,0.4,2153,3522,0.1564660403643354,2.2564857389797783,10,2163,3512,0.1718058482431918,2.2411459311009216,0.0,1.483,True
10,11,leg_right_ankle_pitch_joint,-1,2077,-0.3,1533,2638,-0.8605632220038447,0.8344855486097889,10,1543,2628,-0.8452234141249882,0.8191457407309324,-0.384,1.134,True
11,12,leg_right_ankle_roll_joint,-1,2058,0.0,1356,2357,-0.4586602555778067,1.0768545130957201,10,1366,2347,-0.4433204476989503,1.0615147052168636,-0.524,0.785,True
